currency,rate_date,rate,rate_type,source,,,,,,,,,
AUD,2011-11-02,4.5,cash_rate,RBA,,,,,,,,,
AUD,2011-12-07,4.25,cash_rate,RBA,,,,,,,,,
AUD,2012-05-02,3.75,cash_rate,RBA,,,,,,,,,
AUD,2012-06-06,3.5,cash_rate,RBA,,,,,,,,,
AUD,2012-10-03,3.25,cash_rate,RBA,,,,,,,,,
AUD,2012-12-05,3,cash_rate,RBA,,,,,,,,,
AUD,2013-05-08,2.75,cash_rate,RBA,,,,,,,,,
AUD,2013-08-07,2.5,cash_rate,RBA,,,,,,,,,
AUD,2015-02-04,2.25,cash_rate,RBA,,,,,,,,,
AUD,2015-05-06,2,cash_rate,RBA,,,,,,,,,
AUD,2016-05-04,1.75,cash_rate,RBA,,,,,,,,,
AUD,2016-08-03,1.5,cash_rate,RBA,,,,,,,,,
AUD,2019-06-05,1.25,cash_rate,RBA,,,,,,,,,
AUD,2019-07-03,1,cash_rate,RBA,,,,,,,,,
AUD,2019-10-02,0.75,cash_rate,RBA,,,,,,,,,
AUD,2020-03-04,0.5,cash_rate,RBA,,,,,,,,,
AUD,2020-03-20,0.25,cash_rate,RBA,,,,,,,,,
AUD,2020-11-04,0.1,cash_rate,RBA,,,,,,,,,
AUD,2022-05-04,0.35,cash_rate,RBA,,,,,,,,,
AUD,2022-06-08,0.85,cash_rate,RBA,,,,,,,,,
AUD,2022-07-06,1.35,cash_rate,RBA,,,,,,,,,
AUD,2022-08-03,1.85,cash_rate,RBA,,,,,,,,,
AUD,2022-09-07,2.35,cash_rate,RBA,,,,,,,,,
AUD,2022-10-05,2.6,cash_rate,RBA,,,,,,,,,
AUD,2022-11-02,2.85,cash_rate,RBA,,,,,,,,,
AUD,2022-12-07,3.1,cash_rate,RBA,,,,,,,,,
AUD,2023-02-08,3.35,cash_rate,RBA,,,,,,,,,
AUD,2023-03-08,3.6,cash_rate,RBA,,,,,,,,,
AUD,2023-05-03,3.85,cash_rate,RBA,,,,,,,,,
AUD,2023-06-07,4.1,cash_rate,RBA,,,,,,,,,
AUD,2023-11-08,4.35,cash_rate,RBA,,,,,,,,,
AUD,2025-02-19,4.1,cash_rate,RBA,,,,,,,,,
AUD,2025-05-21,3.85,cash_rate,RBA,,,,,,,,,
USD,2011-06-22,0.25,cash_rate,FED,,,,,,,,,
USD,2015-12-16,0.5,cash_rate,FED,,,,,,,,,
USD,2016-12-14,0.75,cash_rate,FED,,,,,,,,,
USD,2017-03-15,1,cash_rate,FED,,,,,,,,,
USD,2017-06-14,1.25,cash_rate,FED,,,,,,,,,
USD,2017-12-13,1.5,cash_rate,FED,,,,,,,,,
USD,2024-03-21,1.75,cash_rate,FED,,,,,,,,,
USD,2018-06-13,2,cash_rate,FED,,,,,,,,,
USD,2018-09-26,2.25,cash_rate,FED,,,,,,,,,
USD,2018-12-19,2.5,cash_rate,FED,,,,,,,,,
USD,2019-07-31,2.25,cash_rate,FED,,,,,,,,,
USD,2019-09-18,2,cash_rate,FED,,,,,,,,,
USD,2019-10-30,1.75,cash_rate,FED,,,,,,,,,
USD,2020-03-03,1.25,cash_rate,FED,,,,,,,,,
USD,2020-03-15,0.25,cash_rate,FED,,,,,,,,,
USD,2022-03-16,0.5,cash_rate,FED,,,,,,,,,
USD,2022-05-04,1,cash_rate,FED,,,,,,,,,
USD,2022-06-15,1.75,cash_rate,FED,,,,,,,,,
USD,2022-07-27,2.5,cash_rate,FED,,,,,,,,,
USD,2022-09-21,3.25,cash_rate,FED,,,,,,,,,
USD,2022-11-02,4,cash_rate,FED,,,,,,,,,
USD,2022-12-14,4.5,cash_rate,FED,,,,,,,,,
USD,2023-02-01,4.75,cash_rate,FED,,,,,,,,,
USD,2023-03-22,5,cash_rate,FED,,,,,,,,,
USD,2023-05-03,5.25,cash_rate,FED,,,,,,,,,
USD,2023-07-26,5.5,cash_rate,FED,,,,,,,,,
USD,2024-09-18,5,cash_rate,FED,,,,,,,,,
USD,2024-11-07,4.75,cash_rate,FED,,,,,,,,,
USD,2024-12-18,4.5,cash_rate,FED,,,,,,,,,
EUR,2011-04-07,1.25,cash_rate,ECB,,,,,,,,,
EUR,2011-07-07,1.5,cash_rate,ECB,,,,,,,,,
EUR,2011-11-03,1.25,cash_rate,ECB,,,,,,,,,
EUR,2011-12-08,1,cash_rate,ECB,,,,,,,,,
EUR,2012-07-05,0.75,cash_rate,ECB,,,,,,,,,
EUR,2013-05-02,0.5,cash_rate,ECB,,,,,,,,,
EUR,2013-11-07,0.25,cash_rate,ECB,,,,,,,,,
EUR,2014-06-05,0.15,cash_rate,ECB,,,,,,,,,
EUR,2014-09-04,0.05,cash_rate,ECB,,,,,,,,,
EUR,2016-03-10,0,cash_rate,ECB,,,,,,,,,
EUR,2022-07-21,0.5,cash_rate,ECB,,,,,,,,,
EUR,2022-09-08,1.25,cash_rate,ECB,,,,,,,,,
EUR,2022-10-27,2,cash_rate,ECB,,,,,,,,,
EUR,2022-12-15,2.5,cash_rate,ECB,,,,,,,,,
EUR,2023-02-02,3,cash_rate,ECB,,,,,,,,,
EUR,2023-03-16,3.5,cash_rate,ECB,,,,,,,,,
EUR,2023-05-04,3.75,cash_rate,ECB,,,,,,,,,
EUR,2023-06-15,4,cash_rate,ECB,,,,,,,,,
EUR,2023-07-27,4.25,cash_rate,ECB,,,,,,,,,
EUR,2023-09-14,4.5,cash_rate,ECB,,,,,,,,,
EUR,2024-06-06,4.25,cash_rate,ECB,,,,,,,,,
EUR,2024-09-12,3.65,cash_rate,ECB,,,,,,,,,
EUR,2024-10-17,3.4,cash_rate,ECB,,,,,,,,,
EUR,2024-12-12,3.15,cash_rate,ECB,,,,,,,,,
EUR,2025-01-30,2.9,cash_rate,ECB,,,,,,,,,
EUR,2025-03-06,2.65,cash_rate,ECB,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,